region,year,total_ev_stock
China,2010,1940.0
China,2011,6960.0
China,2012,16920.0
China,2013,32600.0
China,2014,85000.0
China,2015,297000.0
China,2016,630000.0
China,2017,1210000.0
China,2018,2240000.0
China,2019,3370000.0
China,2020,4490000.0
China,2021,7800019.0
China,2022,14100240.0
China,2023,21800760.0
Europe,2010,9903.0
Europe,2011,20588.0
Europe,2012,46810.0
Europe,2013,104130.0
Europe,2014,200150.0
Europe,2015,380340.0
Europe,2016,590540.0
Europe,2017,880890.0
Europe,2018,1251000.0
Europe,2019,1771700.0
Europe,2020,3102400.0
Europe,2021,5403400.0
Europe,2022,7804700.0
Europe,2023,11205500.0
India,2010,880.0
India,2011,1300.0
India,2012,2800.0
India,2013,2900.0
India,2014,3400.0
India,2015,4400.0
India,2016,4800.0
India,2017,7000.0
India,2018,7900.0
India,2019,8607.0
India,2020,12050.0
India,2021,23101.0
India,2022,72123.0
India,2023,150393.0
Rest of the world,2011,240.0
Rest of the world,2012,598.0
Rest of the world,2013,798.0
Rest of the world,2014,1370.0
Rest of the world,2015,6300.0
Rest of the world,2016,7700.0
Rest of the world,2017,9900.0
Rest of the world,2018,13700.0
Rest of the world,2019,21600.0
Rest of the world,2020,36004.0
Rest of the world,2021,62004.0
Rest of the world,2022,117005.0
Rest of the world,2023,239005.0
USA,2010,3800.0
USA,2011,22000.0
USA,2012,75000.0
USA,2013,172000.0
USA,2014,290055.0
USA,2015,400160.0
USA,2016,571200.0
USA,2017,763500.0
USA,2018,1126200.0
USA,2019,1458200.0
USA,2020,1749200.0
USA,2021,2232000.0
USA,2022,3025000.0
USA,2023,4818000.0
